SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100200913,10009683,10010708,51,51,BF,"",,1554,AF,"",,1554
100200914,10009683,10007171,50,50,BF,"",,1555,AF,"",,1555
100200915,10051383,10012892,50,50,AF/IN,"",,1500,BF/IN,"",,1556
100200916,10051383,10001442,100,100,AF/IN,"",,1510,BF/IN,"",,1555
100200917,10001442,10006170,100,100,BF,"",,1555,AF,"",,1555
100200918,10001442,10006152,50,50,BF,"",,1554,AF,"",,1554
100200919,10001442,10002977,100,100,CA,"",,1555,AF/IN,"",,1555
100200920,10005350,10005880,50,50,BF,"",,1553,AF/IN,"",,1553
100200921,10051427,10010708,50,50,BF/IN,"",,1554,AF/IN,"",,1555
100200922,10010708,10004224,50,50,BF/IN,"",,1554,AF/IN,"",,1554
100200923,10010708,10002977,100,100,BF/IN,"",,1554,AF/IN,"",,1555
100200924,10010708,10006152,50,50,BF/IN,"",,1554,AF/IN,"",,1554
100200925,10010708,10010299,100,100,BF/IN,"",,1554,AF/IN,"",,1555
100200926,10010708,10011821,50,50,BF/IN,"",,1554,AF/IN,"",,1554
100200927,10010708,10007171,100,100,BF/IN,"",,1554,AF/IN,"",,1555
100200928,10007171,10004224,100,100,BF/IN,"",,1555,AF/IN,"",,1555
100200911,10000944,10003801,60,60,BF,"",,1649,IN,"",,1657
100200929,10054685,10001885,100,100,AF,"",,1609,AF,"",,1645
100200933,10054833,10054838,100,100,AF/IN,"",,1674,BF/IN,"",,1694
100200936,10054951,10011817,100,100,IN,"",,1597,AF,"",,1620
100200931,10054833,10054836,60,100,AF/IN,"",,1671,BF/IN,"",,1694
100200932,10054833,10054837,100,100,AF/IN,"",,1673,BF/IN,"",,1694
100200934,10054833,10054839,100,100,AF/IN,"",,1682,BF/IN,"",,1694
100200935,10006529,10003066,100,100,BF/IN,"",,1615,BF/IN,"",,1623
100200937,10011754,10012346,75,75,CA,"",,1617,BF/IN,"",,1618
100200938,10054950,10011090,100,100,AF/IN,"",,1530,BF/IN,"",,1553
100200939,10054950,10003743,100,100,BF,"",,1530,BF/IN,"",,1553
100200940,10012346,10012347,83,85,AF/IN,"",,1589,BF/IN,"",,1638
